dataset,policy,lambda_ref,stratum,n_cal_q,q,delta_hat,detected,n_req_heuristic
tabular-spambase,random,0.9,3,133.0,0.1606280193236715,-0.129465,0,nan
tabular-spambase,random,0.9,4,176.5,0.21316425120772947,-0.040528999999999996,0,nan
tabular-spambase,random,0.5,1,828.0,1.0,-0.097284,0,nan
tabular-spambase,random,0.7,0,110.0,0.13285024154589373,-0.138058,0,nan
tabular-spambase,random,0.7,1,223.0,0.2693236714975845,-0.110732,0,nan
tabular-spambase,random,0.7,2,137.5,0.16606280193236714,-0.092165,0,nan
tabular-spambase,random,0.7,3,137.0,0.16545893719806765,-0.127326,0,nan
tabular-spambase,random,0.7,4,220.5,0.266304347826087,-0.084821,0,nan
tabular-spambase,random,0.9,0,134.0,0.16183574879227053,-0.142621,0,nan
tabular-spambase,random,0.9,1,150.5,0.1817632850241546,-0.141284,0,nan
tabular-spambase,random,0.9,2,205.5,0.24818840579710144,-0.133068,0,nan
tabular-spambase,random,0.9,3,184.5,0.22282608695652173,-0.11379399999999999,0,nan
tabular-spambase,random,0.9,4,153.5,0.18538647342995168,0.008899000000000018,1,14537.953636331162
tabular-spambase,random,0.5,1,828.0,1.0,-0.09895899999999999,0,nan
tabular-spambase,random,0.7,0,130.5,0.15760869565217392,-0.10807699999999999,0,nan
tabular-spambase,random,0.7,1,146.5,0.17693236714975846,-0.12088499999999999,0,nan
tabular-spambase,random,0.7,2,207.0,0.25,-0.115762,0,nan
tabular-spambase,random,0.7,3,195.5,0.2361111111111111,-0.124167,0,nan
tabular-spambase,random,0.7,4,148.5,0.1793478260869565,-0.0705,0,nan
tabular-spambase,random,0.9,0,164.0,0.19806763285024154,-0.143975,0,nan
tabular-spambase,random,0.9,1,193.0,0.23309178743961353,-0.127942,0,nan
tabular-spambase,random,0.9,2,136.5,0.16485507246376813,-0.12160699999999999,0,nan
tabular-spambase,random,0.9,3,195.0,0.23550724637681159,-0.11996,0,nan
tabular-spambase,random,0.9,4,139.5,0.16847826086956522,-0.007667000000000007,0,nan
