cell,lambda_ref,resplit,certified,lambda_idx,any_stratum_pool_fail
mnist/eps_greedy_eps0.25/ts0,0.7,98,0,,0
mnist/eps_greedy_eps0.25/ts0,0.7,99,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,0,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,1,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,2,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,3,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,4,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,5,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,6,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,7,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,8,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,9,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,10,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,11,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,12,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,13,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,14,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,15,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,16,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,17,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,18,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,19,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,20,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,21,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,22,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,23,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,24,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,25,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,26,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,27,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,28,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,29,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,30,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,31,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,32,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,33,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,34,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,35,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,36,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,37,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,38,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,39,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,40,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,41,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,42,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,43,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,44,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,45,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,46,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,47,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,48,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,49,0,,0
