dataset,train_seed,policy,scheme,floor,committed_alpha,alpha,alpha_minus_floor,is_committed,is_bracket,plugin_viol,plugin_lo,plugin_hi,marg_viol,marg_lo,marg_hi,marg_abstain,marg_cost,marg_cost_ratio_full,oracle_cost,iut_abstain,iut_cost,iut_cost_ratio_full,iut_premium_vs_marginal,n_infeasible_strata_lr0.9,delta,n_resplits
mnist,0,greedy_entropy,uniform,0.077857,0.15,0.0979,0.02,0,0,0.46,0.36560643853331865,0.5573531460647615,0.03,0.010254338223414816,0.08452078080402699,0.0,37.86846904761905,0.7728258989310011,35.466215079365085,1.0,49.0,1.0,1.2939524948416374,1,0.1,100
mnist,0,greedy_entropy,uniform,0.077857,0.15,0.1279,0.05,0,0,0.17,0.10893476059773155,0.25548181233642975,0.05,0.02154336145631356,0.11175196527208817,0.0,28.756690476190474,0.5868712342079688,27.759095238095234,1.0,49.0,1.0,1.7039512958061107,1,0.1,100
mnist,0,greedy_entropy,uniform,0.077857,0.15,0.15,0.0721,1,0,0.35,0.2636410465347802,0.4474573957080203,0.02,0.005501852234968185,0.07001316294199365,0.0,24.84706111111111,0.5070828798185941,24.027211111111114,1.0,49.0,1.0,1.9720642123783476,1,0.1,100
mnist,0,greedy_entropy,uniform,0.077857,0.15,0.1579,0.08,0,0,0.15,0.09305903191162297,0.23283733332157835,0.04,0.015663050551848016,0.09837217232607373,0.0,23.77320555555556,0.4851674603174604,22.871786507936505,1.0,49.0,1.0,2.061144000353339,1,0.1,100
mnist,0,greedy_entropy,uniform,0.077857,0.15,0.1879,0.11,0,0,0.4,0.3093997461136028,0.4979992153815976,0.0,0.0,0.03699480747600191,0.0,19.933276984126984,0.40680157110463233,19.264488095238097,1.0,49.0,1.0,2.4582009289801703,1,0.1,100
mnist,0,greedy_entropy,uniform,0.077857,0.15,0.2279,0.15,0,0,0.17,0.10893476059773155,0.25548181233642975,0.03,0.010254338223414816,0.08452078080402699,0.0,16.320729365079366,0.33307610949141564,15.680975396825396,1.0,49.0,1.0,3.0023168023876927,1,0.1,100
mnist,0,greedy_entropy,uniform,0.077857,0.15,0.2779,0.2,0,0,0.15,0.09305903191162297,0.23283733332157835,0.07,0.034318824364064096,0.13749671006529757,0.0,12.55554047619048,0.2562355199222547,12.057498412698413,0.0,28.477796031746024,0.5811795108519596,2.268145770845109,0,0.1,100
tabular-adult,0,greedy_entropy,inverse_info,0.14649,0.2,0.1665,0.02,0,0,0.04,0.015663050551848016,0.09837217232607373,0.04,0.015663050551848016,0.09837217232607373,0.0,44.68214529233725,0.46896621212185735,34.44039515581136,1.0,95.27796275593288,0.9999999999999997,2.1323497816089088,1,0.1,100
tabular-adult,0,greedy_entropy,inverse_info,0.14649,0.2,0.1965,0.05,0,0,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,34.3598066781517,0.36062700843183315,34.3598066781517,1.0,95.27796275593288,0.9999999999999997,2.7729481614492633,1,0.1,100
tabular-adult,0,greedy_entropy,inverse_info,0.14649,0.2,0.2,0.0535,1,0,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,34.3598066781517,0.36062700843183315,34.3598066781517,1.0,95.27796275593288,0.9999999999999997,2.7729481614492633,1,0.1,100
tabular-adult,0,greedy_entropy,inverse_info,0.14649,0.2,0.2265,0.08,0,0,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,34.3598066781517,0.36062700843183315,34.3598066781517,1.0,95.27796275593288,0.9999999999999997,2.7729481614492633,1,0.1,100
tabular-adult,0,greedy_entropy,inverse_info,0.14649,0.2,0.2565,0.11,0,0,0.01,0.0017673865655472645,0.0544875247609346,0.01,0.0017673865655472645,0.0544875247609346,0.0,17.81151722397915,0.18694267497727365,0.345276626837562,1.0,95.27796275593288,0.9999999999999997,5.349233395325965,1,0.1,100
tabular-adult,0,greedy_entropy,inverse_info,0.14649,0.2,0.2965,0.15,0,0,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.0,0.0,0.0,1.0,95.27796275593288,0.9999999999999997,nan,1,0.1,100
tabular-adult,0,greedy_entropy,inverse_info,0.14649,0.2,0.3465,0.2,0,0,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,0.0,0.0,0.0,0.0,34.3598066781517,0.36062700843183315,nan,0,0.1,100
tabular-MiniBooNE,0,greedy_entropy,inverse_info,0.084374,0.15,0.1044,0.02,0,0,0.28,0.2013955916759837,0.37488212361345724,0.07,0.034318824364064096,0.13749671006529757,0.0,57.02412209747761,0.16719516937051315,48.422395100933706,1.0,341.06321559511804,0.9999999999999998,5.981034044015638,1,0.1,100
tabular-MiniBooNE,0,greedy_entropy,inverse_info,0.084374,0.15,0.1344,0.05,0,0,0.16,0.10095202349473717,0.24420444558894414,0.13,0.07757093858414264,0.20980521894809878,0.0,18.782678620353344,0.055070959756183674,17.260969556188666,1.0,341.06321559511804,0.9999999999999998,18.158390636867633,1,0.1,100
tabular-MiniBooNE,0,greedy_entropy,inverse_info,0.084374,0.15,0.1363,0.0519,0,1,0.02,0.005501852234968185,0.07001316294199365,0.02,0.005501852234968185,0.07001316294199365,0.0,17.975887961032107,0.052705443269999507,17.044748913008007,1.0,341.06321559511804,0.9999999999999998,18.973372349364347,1,0.1,100
tabular-MiniBooNE,0,greedy_entropy,inverse_info,0.084374,0.15,0.1383,0.0539,0,1,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,17.293658356614095,0.05070514076529346,17.012200231073116,1.0,341.06321559511804,0.9999999999999998,19.721866164002005,1,0.1,100
tabular-MiniBooNE,0,greedy_entropy,inverse_info,0.084374,0.15,0.1422,0.0578,0,1,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,17.012200231073116,0.04987990335278075,17.012200231073116,1.0,341.06321559511804,0.9999999999999998,20.04815432234094,1,0.1,100
tabular-MiniBooNE,0,greedy_entropy,inverse_info,0.084374,0.15,0.15,0.0656,1,0,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,17.012200231073116,0.04987990335278075,17.012200231073116,1.0,341.06321559511804,0.9999999999999998,20.04815432234094,1,0.1,100
tabular-MiniBooNE,0,greedy_entropy,inverse_info,0.084374,0.15,0.1644,0.08,0,0,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,17.012200231073116,0.04987990335278075,17.012200231073116,1.0,341.06321559511804,0.9999999999999998,20.04815432234094,1,0.1,100
tabular-MiniBooNE,0,greedy_entropy,inverse_info,0.084374,0.15,0.1944,0.11,0,0,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,17.012200231073116,0.04987990335278075,17.012200231073116,1.0,341.06321559511804,0.9999999999999998,20.04815432234094,1,0.1,100
tabular-MiniBooNE,0,greedy_entropy,inverse_info,0.084374,0.15,0.2344,0.15,0,0,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,0.0,17.012200231073116,0.04987990335278075,17.012200231073116,1.0,341.06321559511804,0.9999999999999998,20.04815432234094,0,0.1,100
tabular-MiniBooNE,0,greedy_entropy,inverse_info,0.084374,0.15,0.2844,0.2,0,0,0.05,0.02154336145631356,0.11175196527208817,0.05,0.02154336145631356,0.11175196527208817,0.0,13.092198710646501,0.03838642841562976,0.8513096647967633,0.0,55.75322711439806,0.16346889539851067,4.258507554507239,0,0.1,100
tabular-spambase,0,greedy_entropy,inverse_info,0.054348,0.15,0.0743,0.02,0,0,0.53,0.4328868313724773,0.6248934801789626,0.07,0.034318824364064096,0.13749671006529757,0.69,334.98940548384564,0.8095899140027346,104.49334021862505,1.0,413.77665369817595,0.9999999999999998,1.235193253650912,1,0.1,100
tabular-spambase,0,greedy_entropy,inverse_info,0.054348,0.15,0.1043,0.05,0,0,0.45,0.3561437510640346,0.5475557296835656,0.06,0.02778574526665662,0.12476968531222507,0.0,83.99324219987325,0.20299173829449793,60.51968330627619,1.0,413.77665369817595,0.9999999999999998,4.926308865581573,1,0.1,100
tabular-spambase,0,greedy_entropy,inverse_info,0.054348,0.15,0.1343,0.08,0,0,0.44,0.34671865400968327,0.537720722887437,0.07,0.034318824364064096,0.13749671006529757,0.0,53.134376140491895,0.12841318055428538,30.38995746641204,1.0,413.77665369817595,0.9999999999999998,7.78736260315007,1,0.1,100
tabular-spambase,0,greedy_entropy,inverse_info,0.054348,0.15,0.15,0.0957,1,0,0.45,0.3561437510640346,0.5475557296835656,0.03,0.010254338223414816,0.08452078080402699,0.0,37.80290882981846,0.09136066158385364,23.629465192573843,1.0,413.77665369817595,0.9999999999999998,10.945630019132128,0,0.1,100
tabular-spambase,0,greedy_entropy,inverse_info,0.054348,0.15,0.1643,0.11,0,0,0.21,0.14165549531645788,0.2998014930196232,0.04,0.015663050551848016,0.09837217232607373,0.0,28.228824405434224,0.06822237106210774,19.283551905378474,1.0,413.77665369817595,0.9999999999999998,14.657948476895175,0,0.1,100
tabular-spambase,0,greedy_entropy,inverse_info,0.054348,0.15,0.1693,0.115,0,1,0.07,0.034318824364064096,0.13749671006529757,0.05,0.02154336145631356,0.11175196527208817,0.0,25.874818051908882,0.06253329621342757,18.975988292856474,1.0,413.77665369817595,0.9999999999999998,15.991480707925215,0,0.1,100
