cell,R_pool_s0,R_pool_s1,R_pool_s2,R_pool_s3,R_pool_s4,agg_pool_risk,lambda_idx,lambda_ref,pool_cost,resplit
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,75
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,76
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,77
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,78
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,79
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,80
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,81
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,82
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,83
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,84
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,85
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,86
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,87
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,88
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,89
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,90
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,91
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,92
mnist/eps_greedy_eps0.25/ts0,0.078076,0.078544,0.091271,0.119217,0.346971,0.14813492063492065,81,0.9,21.46468253968254,93
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,94
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,95
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,96
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,97
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,98
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,99
mnist/eps_greedy_eps0.5/ts0,0.066332,0.057814,0.065449,0.109248,0.337215,0.13607142857142857,80,0.9,22.311666666666667,0
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,1
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,2
