cell,resplit,lambda_idx,pool_risk,pool_cost,exceed,fallback
mnist/eps_greedy_eps0.25/ts0,60,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,61,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,62,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,63,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,64,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,65,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,66,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,67,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,68,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,69,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,70,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,71,80,0.15408730158730158,20.729087301587303,1,0
mnist/eps_greedy_eps0.25/ts0,72,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,73,80,0.15408730158730158,20.729087301587303,1,0
mnist/eps_greedy_eps0.25/ts0,74,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,75,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,76,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,77,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,78,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,79,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,80,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,81,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,82,80,0.15408730158730158,20.729087301587303,1,0
mnist/eps_greedy_eps0.25/ts0,83,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,84,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,85,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,86,80,0.15408730158730158,20.729087301587303,1,0
mnist/eps_greedy_eps0.25/ts0,87,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,88,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,89,81,0.14813492063492065,21.46468253968254,0,0
